NOMENCLATURA,CONVOCATORIA_INICIO,CONVOCATORIA_FIN,CONSULTAS_INICIO,CONSULTAS_FIN,BUENA_PRO
AS-SM-71-2024-ELSE-1,2024-09-05T00:00:00-05:00,2024-09-05T00:00:00-05:00,2024-09-06T00:01:00-05:00,2024-09-11T23:59:00-05:00,2024-10-23T00:00:00-05:00
AS-SM-73-2024-ELSE-1,2024-09-17T00:00:00-05:00,2024-09-17T00:00:00-05:00,2024-09-18T00:01:00-05:00,2024-09-20T23:59:00-05:00,2024-10-28T00:00:00-05:00
CP-SM-42-2024-ELSE-1,2024-09-12T00:00:00-05:00,2024-09-12T00:00:00-05:00,2024-09-13T00:01:00-05:00,2024-09-26T23:59:00-05:00,2024-10-29T00:00:00-05:00
AS-SM-72-2024-ELSE-1,2024-09-10T00:00:00-05:00,2024-09-10T00:00:00-05:00,2024-09-11T00:01:00-05:00,2024-09-16T23:59:00-05:00,2024-10-10T00:00:00-05:00
AS-SM-70-2024-ELSE-1,2024-08-14T00:00:00-05:00,2024-08-14T00:00:00-05:00,2024-08-15T00:01:00-05:00,2024-08-16T23:59:00-05:00,2024-09-03T00:00:00-05:00
LP-SM-16-2024-ELSE-1,2024-08-22T00:00:00-05:00,2024-08-22T00:00:00-05:00,2024-08-23T00:01:00-05:00,2024-09-09T23:59:00-05:00,2024-10-14T00:00:00-05:00
AS-SM-15-2024-ELSE-1,2024-08-23T00:00:00-05:00,2024-08-23T00:00:00-05:00,2024-08-24T00:01:00-05:00,2024-08-27T23:59:00-05:00,2024-09-10T00:00:00-05:00
CP-SM-3-2024-ELSE-1,2024-08-28T00:00:00-05:00,2024-08-28T00:00:00-05:00,2024-08-29T00:01:00-05:00,2024-09-12T23:59:00-05:00,2024-11-25T00:00:00-05:00
CP-SM-41-2024-ELSE-1,2024-08-28T00:00:00-05:00,2024-08-28T00:00:00-05:00,2024-08-29T00:01:00-05:00,2024-09-12T23:59:00-05:00,2024-10-24T00:00:00-05:00
CP-SM-63-2024-ELSE-1,2024-08-19T00:00:00-05:00,2024-08-19T00:00:00-05:00,2024-08-20T00:01:00-05:00,2024-09-04T23:59:00-05:00,2024-10-21T00:00:00-05:00
AS-SM-57-2024-ELSE-1,2024-08-20T00:00:00-05:00,2024-08-20T00:00:00-05:00,2024-08-21T00:01:00-05:00,2024-08-23T23:59:00-05:00,2024-10-28T00:00:00-05:00
CP-SM-46-2024-ELSE-1,2024-08-16T00:00:00-05:00,2024-08-16T00:00:00-05:00,2024-08-17T00:01:00-05:00,2024-09-02T23:59:00-05:00,
CP-SM-46-2024-ELSE-1,2024-08-16T00:00:00-05:00,2024-08-16T00:00:00-05:00,2024-08-17T00:01:00-05:00,2024-09-02T23:59:00-05:00,2024-09-26T00:00:00-05:00
AS-SM-13-2024-ELSE-1,2024-08-29T00:00:00-05:00,2024-08-29T00:00:00-05:00,2024-08-30T00:01:00-05:00,2024-09-05T23:59:00-05:00,2024-10-02T00:00:00-05:00
CP-SM-27-2024-ELSE-1,2024-08-01T00:00:00-05:00,2024-08-01T00:00:00-05:00,2024-08-02T00:01:00-05:00,2024-08-16T23:59:00-05:00,
AS-SM-39-2024-ELSE-1,2024-08-23T00:00:00-05:00,2024-08-23T00:00:00-05:00,2024-08-24T00:01:00-05:00,2024-08-28T23:59:00-05:00,2024-09-24T00:00:00-05:00
CP-SM-27-2024-ELSE-1,2024-08-01T00:00:00-05:00,2024-08-01T00:00:00-05:00,2024-08-02T00:01:00-05:00,2024-08-16T23:59:00-05:00,
LP-SM-22-2024-ELSE-1,2024-07-09T00:00:00-05:00,2024-07-09T00:00:00-05:00,2024-07-10T00:01:00-05:00,2024-07-24T23:59:00-05:00,2024-09-05T00:00:00-05:00
LP-SM-9-2024-ELSE-1,2024-07-15T00:00:00-05:00,2024-07-15T00:00:00-05:00,2024-07-16T00:01:00-05:00,2024-08-01T23:59:00-05:00,2024-12-04T00:00:00-05:00
